departamento,fecha,precip_mm,temp_celsius
Boyaca,2018-01-01,6.464106052816152,14.817702514317077
Boyaca,2018-01-02,4.461963596289436,14.278208997342515
Boyaca,2018-01-03,6.242287521612256,14.554912504961722
Boyaca,2018-01-04,7.039472012051409,14.65926468337915
Boyaca,2018-01-05,1.6784285842487547,14.92691924614632
Boyaca,2018-01-06,0.1976525766553737,14.601739951396482
Boyaca,2018-01-07,0.0,14.434012921931496
Boyaca,2018-01-08,0.0249354019237195,14.442151870566256
Boyaca,2018-01-09,4.595314712458534,14.364056615990467
Boyaca,2018-01-10,4.319755632831814,14.479003740786531
Boyaca,2018-01-11,1.4355054692103633,14.327454832855167
Boyaca,2018-01-12,1.341227745891201,14.158083387718804
Boyaca,2018-01-13,8.155446595941518,14.190797542436306
Boyaca,2018-01-14,2.784355890616573,14.261700430102
Boyaca,2018-01-15,1.1820737070548872,14.457371929234217
Boyaca,2018-01-16,0.7057731910885017,14.365069745883442
Boyaca,2018-01-17,4.932135726442668,14.13132661939018
Boyaca,2018-01-18,6.630722793315537,14.067232214833345
Boyaca,2018-01-19,0.0325923704253965,14.39732132381821
Boyaca,2018-01-20,0.0488707327451541,14.443892960848697
Boyaca,2018-01-21,0.7356874405886762,14.332720802186037
Boyaca,2018-01-22,2.042533625373912,14.174153814701029
Boyaca,2018-01-23,0.4603467829817441,14.370623711391652
Boyaca,2018-01-24,0.3583899125750311,14.558765993595792
Boyaca,2018-01-25,0.0,14.963042464688852
Boyaca,2018-01-26,2.0119351537252435,15.208120456697367
Boyaca,2018-01-27,0.7668939614629044,15.2292898873764
Boyaca,2018-01-28,2.621342638481521,15.631616587718012
Boyaca,2018-01-29,0.0,15.949636658090023
Boyaca,2018-01-30,1.5440520202122396,15.805813727566694
Boyaca,2018-01-31,0.5221878517563248,15.75431085572948
Boyaca,2018-02-01,0.0,15.497721436700225
Boyaca,2018-02-02,7.250004216532919,15.833431888114577
Boyaca,2018-02-03,4.173344481380575,15.726780409704094
Boyaca,2018-02-04,0.4341913647369127,15.658189403368691
Boyaca,2018-02-05,0.1098060077058969,16.303488381392707
Boyaca,2018-02-06,2.837825247743784,16.046681786287603
Boyaca,2018-02-07,0.3314997754717467,15.81030782804789
Boyaca,2018-02-08,0.0096893994974567,15.619359381298118
Boyaca,2018-02-09,0.0,15.31579559680809
Boyaca,2018-02-10,0.1533338090023362,15.32879651354726
Boyaca,2018-02-11,0.0,15.12102608252306
Boyaca,2018-02-12,0.2264439294438617,14.906106060861935
Boyaca,2018-02-13,0.0,15.027207767136762
Boyaca,2018-02-14,0.1110908196814491,15.040918517720296
Boyaca,2018-02-15,2.2072219212268247,15.10245980451186
Boyaca,2018-02-16,7.349349263766431,15.22286677044561
Boyaca,2018-02-17,9.5485889420996,15.273811931778988
Boyaca,2018-02-18,0.9666778995494292,15.043896444673628
Boyaca,2018-02-19,0.2673040735135321,15.60904818951384
Boyaca,2018-02-20,0.3934099744456816,15.267318593958883
Boyaca,2018-02-21,0.0,15.03026496816941
Boyaca,2018-02-22,0.0,14.891055485872712
Boyaca,2018-02-23,0.0882647878843593,14.481942288232975
Boyaca,2018-02-24,0.0,14.160370604077594
Boyaca,2018-02-25,0.6998581126166233,13.812554243838562
Boyaca,2018-02-26,0.0694067326233307,14.118345844958002
Boyaca,2018-02-27,0.2461106797901686,14.463633846256592
Boyaca,2018-02-28,0.0,14.956344957648724
Boyaca,2018-03-01,0.0,15.071405007833002
Boyaca,2018-03-02,0.0,15.13845218288917
Boyaca,2018-03-03,0.089363493889569,15.275998264002856
Boyaca,2018-03-04,3.660457223517765,15.345725230393482
Boyaca,2018-03-05,3.140808928654508,14.617167788365707
Boyaca,2018-03-06,1.6065003564948532,14.728342451675204
Boyaca,2018-03-07,0.1017071469191182,15.370124435356471
Boyaca,2018-03-08,5.705866439908228,15.302461644543085
Boyaca,2018-03-09,0.2718922742530064,15.454093646582828
Boyaca,2018-03-10,0.1016973523029622,15.71436515631475
Boyaca,2018-03-11,0.0,15.484007301244471
Boyaca,2018-03-12,0.0,15.770978643413788
Boyaca,2018-03-13,0.3139636259834069,16.066107286407394
Boyaca,2018-03-14,0.0,16.100042783450615
Boyaca,2018-03-15,0.1187528375707923,15.905328781671551
Boyaca,2018-03-16,0.2960193562583119,15.847737017830712
Boyaca,2018-03-17,0.2150254167907112,15.991144145805244
Boyaca,2018-03-18,4.819275160978989,15.425188435230968
Boyaca,2018-03-19,0.7093635898675813,14.995284952384456
Boyaca,2018-03-20,2.7620632207848548,15.557372181373648
Boyaca,2018-03-21,4.714126163348298,15.78618953883795
Boyaca,2018-03-22,1.2950750289141653,15.852884053792668
