departamento,fecha,precip_mm
Amazonas,2018-01-01,8.992120534836344
Antioquia,2018-01-01,4.813401291259362
Arauca,2018-01-01,11.574496957953734
Atlantico,2018-01-01,0.9278835643131156
Bolivar,2018-01-01,6.246724429944446
Boyaca,2018-01-01,6.464106052816152
Buenaventura,2018-01-01,10.26352596282959
Caldas,2018-01-01,4.041527650927167
Caqueta,2018-01-01,16.30273968461884
Casanare,2018-01-01,10.170135742435981
Cauca,2018-01-01,6.98580539744743
Cesar,2018-01-01,6.029205716918806
Choco,2018-01-01,7.652589586016316
Cordoba,2018-01-01,4.775573319915219
Cundinamarca,2018-01-01,13.220481088290278
Guainia,2018-01-01,22.788086907769056
Guajira,2018-01-01,0.12994339818039902
Guaviare,2018-01-01,22.721342800026004
Huila,2018-01-01,26.031841209681897
Magdalena,2018-01-01,4.761714739140938
Meta,2018-01-01,26.60339888228726
Narino,2018-01-01,19.283239662598042
Norte De Santander,2018-01-01,23.37785085734925
Putumayo,2018-01-01,24.421332450166116
Quindio,2018-01-01,4.278168139763959
Risaralda,2018-01-01,1.865139512885698
San Andres Y Providencia,2018-01-01,
Santander,2018-01-01,12.676103213633409
Sucre,2018-01-01,4.08284035224153
Tolima,2018-01-01,12.783651504484817
Valle Del Cauca,2018-01-01,6.523257942851802
Vaupes,2018-01-01,14.29362428830454
Vichada,2018-01-01,3.9017874491577227
Amazonas,2018-01-02,3.909642178650233
Antioquia,2018-01-02,20.238807249034107
Arauca,2018-01-02,11.496720507936796
Atlantico,2018-01-02,2.8452298634374356
Bolivar,2018-01-02,10.984871108264848
Boyaca,2018-01-02,4.4619635962894355
Buenaventura,2018-01-02,0.0
Caldas,2018-01-02,20.995745650491354
Caqueta,2018-01-02,3.1522444919996415
Casanare,2018-01-02,16.684068185309307
Cauca,2018-01-02,1.7277883688868299
Cesar,2018-01-02,7.564563602626747
Choco,2018-01-02,11.972637593577286
Cordoba,2018-01-02,7.101078992599604
Cundinamarca,2018-01-02,4.957043410331669
Guainia,2018-01-02,17.207716683621275
Guajira,2018-01-02,9.669039430792665
Guaviare,2018-01-02,0.9369503705786381
Huila,2018-01-02,3.211867853472996
Magdalena,2018-01-02,6.920110646472697
Meta,2018-01-02,5.941379540910628
Narino,2018-01-02,3.170679289556781
Norte De Santander,2018-01-02,6.849430750698529
Putumayo,2018-01-02,7.431244840142183
Quindio,2018-01-02,28.43344901281793
Risaralda,2018-01-02,20.93145930746473
San Andres Y Providencia,2018-01-02,
Santander,2018-01-02,0.6548817911479212
Sucre,2018-01-02,7.5794865574507035
Tolima,2018-01-02,7.762049324657703
Valle Del Cauca,2018-01-02,1.8139217440936901
Vaupes,2018-01-02,0.8268011368735775
Vichada,2018-01-02,14.173787411353157
Amazonas,2018-01-03,1.002650772597053
Antioquia,2018-01-03,23.432310309909454
Arauca,2018-01-03,7.086603363116473
Atlantico,2018-01-03,4.98789359053615
Bolivar,2018-01-03,13.459928949635355
Boyaca,2018-01-03,6.242287521612256
Buenaventura,2018-01-03,10.26352596282959
Caldas,2018-01-03,8.860823379290988
Caqueta,2018-01-03,0.7754561751310549
Casanare,2018-01-03,1.9296329554191451
Cauca,2018-01-03,8.790425029924021
Cesar,2018-01-03,8.385793984319148
Choco,2018-01-03,12.426275370630654
Cordoba,2018-01-03,20.184392018967632
Cundinamarca,2018-01-03,0.05023909607809484
Guainia,2018-01-03,1.983984692551133
Guajira,2018-01-03,6.047805089247141
Guaviare,2018-01-03,0.6779894272172862
Huila,2018-01-03,1.264606556679793
Magdalena,2018-01-03,7.391591871752699
Meta,2018-01-03,0.16783446009539743
Narino,2018-01-03,0.24508783958104635
Norte De Santander,2018-01-03,3.8621687146330657
Putumayo,2018-01-03,1.2631693773864225
Quindio,2018-01-03,0.0
Risaralda,2018-01-03,4.87251962664469
San Andres Y Providencia,2018-01-03,
Santander,2018-01-03,6.642407812743118
Sucre,2018-01-03,15.21275003005263
Tolima,2018-01-03,2.939431484454822
Valle Del Cauca,2018-01-03,2.9476678678176955
Vaupes,2018-01-03,0.431510008192175
Vichada,2018-01-03,0.5013491262954684
Amazonas,2018-01-04,0.1815850227991539
Antioquia,2018-01-04,17.575752035948167
Arauca,2018-01-04,0.0
Atlantico,2018-01-04,0.941093153644289
Bolivar,2018-01-04,11.250357062065897
Boyaca,2018-01-04,7.039472012051409
Buenaventura,2018-01-04,20.52705192565918
Caldas,2018-01-04,26.377253798802442
Caqueta,2018-01-04,0.4840888632600094
Casanare,2018-01-04,0.0
Cauca,2018-01-04,21.257515643180657
Cesar,2018-01-04,6.202311676583516
Choco,2018-01-04,24.200659627841812
Cordoba,2018-01-04,13.044899181715888
Cundinamarca,2018-01-04,9.867127902882268
Guainia,2018-01-04,3.7894545466491856
Guajira,2018-01-04,1.0536893273028058
Guaviare,2018-01-04,0.9754398354570072
Huila,2018-01-04,1.8700215657718247
Magdalena,2018-01-04,1.7291297849200713
Meta,2018-01-04,0.04632467574938469
Narino,2018-01-04,6.058598457752681
Norte De Santander,2018-01-04,6.690387307306893
Putumayo,2018-01-04,5.628825476704046E-4
Quindio,2018-01-04,8.338851124481655
Risaralda,2018-01-04,33.21361366082408
San Andres Y Providencia,2018-01-04,
Santander,2018-01-04,20.27726947011927
Sucre,2018-01-04,5.493423299386443
Tolima,2018-01-04,5.265494334263758
Valle Del Cauca,2018-01-04,25.986819637387196
Vaupes,2018-01-04,0.4764282513786695
Vichada,2018-01-04,0.7708311695094772
Amazonas,2018-01-05,15.771814067821236
Antioquia,2018-01-05,9.236297101815135
Arauca,2018-01-05,0.06477099820714714
Atlantico,2018-01-05,2.3434856470028698
Bolivar,2018-01-05,1.743220050554286
Boyaca,2018-01-05,1.6784285842487547
Buenaventura,2018-01-05,0.0
Caldas,2018-01-05,3.8715551959852466
Caqueta,2018-01-05,3.8214309518237433
Casanare,2018-01-05,0.0
Cauca,2018-01-05,10.098230383940153
Cesar,2018-01-05,5.565041621472849
Choco,2018-01-05,6.514806054770782
Cordoba,2018-01-05,9.296729461071077
Cundinamarca,2018-01-05,4.075748052782518
Guainia,2018-01-05,2.5440273214900193
Guajira,2018-01-05,1.7401480455675957
Guaviare,2018-01-05,0.5471146328058466
Huila,2018-01-05,11.33749061372488
Magdalena,2018-01-05,4.301428750690182
Meta,2018-01-05,0.008321420029213841
Narino,2018-01-05,2.501294015159833
Norte De Santander,2018-01-05,20.303251718285313
Putumayo,2018-01-05,10.853993343139695
Quindio,2018-01-05,4.535607514272909
Risaralda,2018-01-05,0.0
San Andres Y Providencia,2018-01-05,
Santander,2018-01-05,0.8609409828082134
Sucre,2018-01-05,1.1190975291475975
Tolima,2018-01-05,8.675251248163654
Valle Del Cauca,2018-01-05,7.1205912581451685
Vaupes,2018-01-05,7.810707839987539
Vichada,2018-01-05,2.0157275970671296
Amazonas,2018-01-06,7.7249318943484875
Antioquia,2018-01-06,8.31013615172394
Arauca,2018-01-06,0.007792992698572906
Atlantico,2018-01-06,0.0
Bolivar,2018-01-06,9.985117216418683
Boyaca,2018-01-06,0.19765257665537372
Buenaventura,2018-01-06,0.0
Caldas,2018-01-06,4.1142102508410066
Caqueta,2018-01-06,8.349044325065053
Casanare,2018-01-06,9.702194934249787E-5
Cauca,2018-01-06,8.444965791758042
Cesar,2018-01-06,1.2017893401002178
Choco,2018-01-06,13.242317977212688
Cordoba,2018-01-06,3.6205757062136996
Cundinamarca,2018-01-06,0.8197513517412733
Guainia,2018-01-06,6.281676734209775
Guajira,2018-01-06,0.0
Guaviare,2018-01-06,5.249543046562051
Huila,2018-01-06,7.533081737673309
Magdalena,2018-01-06,0.7634689024645778
Meta,2018-01-06,0.38294757892528475
Narino,2018-01-06,5.861977171892112
Norte De Santander,2018-01-06,3.5599092126792233
Putumayo,2018-01-06,17.563072021021522
Quindio,2018-01-06,0.4129918666301014
Risaralda,2018-01-06,0.9333052816210966
San Andres Y Providencia,2018-01-06,
Santander,2018-01-06,7.384037613532226
Sucre,2018-01-06,3.84286363853386
Tolima,2018-01-06,7.013268131680284
Valle Del Cauca,2018-01-06,1.4461057069307184
Vaupes,2018-01-06,9.677106490954122
Vichada,2018-01-06,1.5093116380753397
Amazonas,2018-01-07,7.309948026887799
Antioquia,2018-01-07,2.0344450661480815
Arauca,2018-01-07,0.0
Atlantico,2018-01-07,0.3812426944202801
Bolivar,2018-01-07,1.4666571754483502
Boyaca,2018-01-07,0.0
Buenaventura,2018-01-07,0.0
Caldas,2018-01-07,4.002979561100872
Caqueta,2018-01-07,0.24310483020181461
Casanare,2018-01-07,0.0022958783900848875
Cauca,2018-01-07,24.14414331288823
Cesar,2018-01-07,2.717196814214452
Choco,2018-01-07,24.62983932311774
Cordoba,2018-01-07,0.0017358452592459714
Cundinamarca,2018-01-07,0.0
Guainia,2018-01-07,3.798512469055053
Guajira,2018-01-07,0.014378490251847372
Guaviare,2018-01-07,0.30141734426727285
Huila,2018-01-07,0.15627377125459763
Magdalena,2018-01-07,1.0371893999808501
Meta,2018-01-07,0.0
Narino,2018-01-07,31.729415338615677
Norte De Santander,2018-01-07,0.0
Putumayo,2018-01-07,2.8552822753571587
Quindio,2018-01-07,0.35295532305664845
Risaralda,2018-01-07,12.274032069013547
San Andres Y Providencia,2018-01-07,
Santander,2018-01-07,0.18455571121693995
Sucre,2018-01-07,1.2558146402096855
Tolima,2018-01-07,0.0
Valle Del Cauca,2018-01-07,8.778739309994377
Vaupes,2018-01-07,8.157707304383692
Vichada,2018-01-07,0.2451859283488197
Amazonas,2018-01-08,7.227391688898577
Antioquia,2018-01-08,2.7777963669756245
Arauca,2018-01-08,0.0
Atlantico,2018-01-08,0.0
Bolivar,2018-01-08,0.0
Boyaca,2018-01-08,0.02493540192371951
Buenaventura,2018-01-08,0.0
Caldas,2018-01-08,0.023476682094124682
Caqueta,2018-01-08,2.779430617038447
Casanare,2018-01-08,0.0
Cauca,2018-01-08,7.360530278657604
Cesar,2018-01-08,0.0
Choco,2018-01-08,16.87518348323716
Cordoba,2018-01-08,0.100399621931131
Cundinamarca,2018-01-08,0.3490792558980255
Guainia,2018-01-08,5.824288256454012
Guajira,2018-01-08,0.22362322876704296
Guaviare,2018-01-08,7.390491868454396
Huila,2018-01-08,6.398907714879006
Magdalena,2018-01-08,0.6925886691738348
Meta,2018-01-08,0.20005574616279184
