departamento,fecha,temp_celsius
Amazonas,2018-01-01,25.55538091573944
Antioquia,2018-01-01,20.7358950032088
Arauca,2018-01-01,24.029861985431623
Atlantico,2018-01-01,26.74459242600962
Bolivar,2018-01-01,24.99214007877066
Boyaca,2018-01-01,14.817702514317075
Buenaventura,2018-01-01,
Caldas,2018-01-01,17.956833552352034
Caqueta,2018-01-01,23.79018619115534
Casanare,2018-01-01,25.56398656268122
Cauca,2018-01-01,17.239945723934436
Cesar,2018-01-01,24.598599420841282
Choco,2018-01-01,23.323613826515732
Cordoba,2018-01-01,25.481739396063215
Cundinamarca,2018-01-01,16.675750842254583
Guainia,2018-01-01,24.860367691510397
Guajira,2018-01-01,24.165889598741465
Guaviare,2018-01-01,24.208175863336017
Huila,2018-01-01,17.654671391946923
Magdalena,2018-01-01,25.239138591660087
Meta,2018-01-01,24.02399789600922
Narino,2018-01-01,18.97455319554572
Norte De Santander,2018-01-01,19.649567456348958
Putumayo,2018-01-01,22.771547324475538
Quindio,2018-01-01,14.88600826222934
Risaralda,2018-01-01,16.930434223056377
San Andres Y Providencia,2018-01-01,
Santander,2018-01-01,20.272892180201406
Sucre,2018-01-01,26.19307012761833
Tolima,2018-01-01,18.292684320932597
Valle Del Cauca,2018-01-01,18.42936271128349
Vaupes,2018-01-01,24.67473553176566
Vichada,2018-01-01,25.573987152460273
Amazonas,2018-01-02,25.098080351924143
Antioquia,2018-01-02,20.544301788105216
Arauca,2018-01-02,23.893588558947926
Atlantico,2018-01-02,26.353769046112227
Bolivar,2018-01-02,24.562888038029953
Boyaca,2018-01-02,14.278208997342515
Buenaventura,2018-01-02,
Caldas,2018-01-02,17.61907418690958
Caqueta,2018-01-02,24.130279763185428
Casanare,2018-01-02,24.819239549641
Cauca,2018-01-02,17.724649937065138
Cesar,2018-01-02,24.122232253734175
Choco,2018-01-02,23.4853967883781
Cordoba,2018-01-02,24.828364661643256
Cundinamarca,2018-01-02,16.492774192112886
Guainia,2018-01-02,24.81550449786284
Guajira,2018-01-02,24.377884323342514
Guaviare,2018-01-02,24.141938274680385
Huila,2018-01-02,18.148885082843588
Magdalena,2018-01-02,24.739731945583934
Meta,2018-01-02,23.84918111536713
Narino,2018-01-02,19.20241382074952
Norte De Santander,2018-01-02,19.854007166391256
Putumayo,2018-01-02,23.604374103615598
Quindio,2018-01-02,15.096393148892597
Risaralda,2018-01-02,17.10875798384376
San Andres Y Providencia,2018-01-02,
Santander,2018-01-02,20.067693457926165
Sucre,2018-01-02,25.33860314100967
Tolima,2018-01-02,18.541075078896828
Valle Del Cauca,2018-01-02,18.610402114927673
Vaupes,2018-01-02,24.361529277128298
Vichada,2018-01-02,25.24373324610786
Amazonas,2018-01-03,25.991076778980844
Antioquia,2018-01-03,21.162067479894272
Arauca,2018-01-03,24.129668566849407
Atlantico,2018-01-03,25.894499126693713
Bolivar,2018-01-03,25.289521845525474
Boyaca,2018-01-03,14.554912504961722
Buenaventura,2018-01-03,
Caldas,2018-01-03,18.480763572931007
Caqueta,2018-01-03,24.802738119693345
Casanare,2018-01-03,24.96328843704339
Cauca,2018-01-03,18.071986513438898
Cesar,2018-01-03,24.599353345764193
Choco,2018-01-03,24.109219186365777
Cordoba,2018-01-03,25.19725757510995
Cundinamarca,2018-01-03,16.710829914347766
Guainia,2018-01-03,25.086466574499855
Guajira,2018-01-03,24.651412726317773
Guaviare,2018-01-03,24.47170283623019
Huila,2018-01-03,17.944348561793177
Magdalena,2018-01-03,24.846697881297782
Meta,2018-01-03,24.131352105360065
Narino,2018-01-03,19.921816895697297
Norte De Santander,2018-01-03,19.99103712706367
Putumayo,2018-01-03,24.580609415967338
Quindio,2018-01-03,15.81019881193229
Risaralda,2018-01-03,17.501945529569397
San Andres Y Providencia,2018-01-03,
Santander,2018-01-03,20.81086781783318
Sucre,2018-01-03,26.091659947026308
Tolima,2018-01-03,18.916894578844193
Valle Del Cauca,2018-01-03,19.11748123115163
Vaupes,2018-01-03,24.832337056528207
Vichada,2018-01-03,25.604724889050605
Amazonas,2018-01-04,26.46769954708015
Antioquia,2018-01-04,20.79281388001177
Arauca,2018-01-04,25.18735867024626
Atlantico,2018-01-04,26.1879716811485
Bolivar,2018-01-04,25.126109820015373
Boyaca,2018-01-04,14.65926468337915
Buenaventura,2018-01-04,
Caldas,2018-01-04,18.139368628065903
Caqueta,2018-01-04,25.3757770279696
Casanare,2018-01-04,26.21533692899144
Cauca,2018-01-04,18.009315290653486
Cesar,2018-01-04,24.306401373518902
Choco,2018-01-04,23.668407979484382
Cordoba,2018-01-04,24.84614063622124
Cundinamarca,2018-01-04,16.84635563646781
Guainia,2018-01-04,25.615554483763507
Guajira,2018-01-04,24.711889530510035
Guaviare,2018-01-04,25.058441928912934
Huila,2018-01-04,18.485697628271758
Magdalena,2018-01-04,24.624959870084258
Meta,2018-01-04,24.8284054523055
Narino,2018-01-04,19.891031689513678
Norte De Santander,2018-01-04,20.381202804638665
Putumayo,2018-01-04,24.482458144785134
Quindio,2018-01-04,14.858025303876236
Risaralda,2018-01-04,17.151905480578492
San Andres Y Providencia,2018-01-04,
Santander,2018-01-04,20.56435997452651
Sucre,2018-01-04,25.973427835166703
Tolima,2018-01-04,19.48582953546355
Valle Del Cauca,2018-01-04,18.776549824338737
Vaupes,2018-01-04,25.61718135730215
Vichada,2018-01-04,26.4008127676822
Amazonas,2018-01-05,25.440871425698788
Antioquia,2018-01-05,20.73519562535632
Arauca,2018-01-05,25.648815006715413
Atlantico,2018-01-05,26.500915284104625
Bolivar,2018-01-05,25.10024794789205
Boyaca,2018-01-05,14.92691924614632
Buenaventura,2018-01-05,
Caldas,2018-01-05,18.40281592143994
Caqueta,2018-01-05,24.532021774798523
Casanare,2018-01-05,26.762632151199846
Cauca,2018-01-05,17.665859489102647
Cesar,2018-01-05,24.404931174610372
Choco,2018-01-05,23.80406421388039
Cordoba,2018-01-05,24.94186928670616
Cundinamarca,2018-01-05,17.09432915463818
Guainia,2018-01-05,25.80727594573453
Guajira,2018-01-05,24.80393198504258
Guaviare,2018-01-05,25.101804213211764
Huila,2018-01-05,18.015051061682392
Magdalena,2018-01-05,24.900841496360652
Meta,2018-01-05,25.101230364219006
Narino,2018-01-05,19.31533961801658
Norte De Santander,2018-01-05,19.98687383660885
Putumayo,2018-01-05,23.571186531397796
Quindio,2018-01-05,14.979977370711383
Risaralda,2018-01-05,17.242223127302818
San Andres Y Providencia,2018-01-05,
Santander,2018-01-05,20.68071923634365
Sucre,2018-01-05,26.005564434445986
Tolima,2018-01-05,19.120659675618857
Valle Del Cauca,2018-01-05,18.698189077399867
Vaupes,2018-01-05,25.48459916677939
Vichada,2018-01-05,26.806021494159662
Amazonas,2018-01-06,25.64779149555218
Antioquia,2018-01-06,20.83558885550606
Arauca,2018-01-06,25.251819301103545
Atlantico,2018-01-06,27.035452004246434
Bolivar,2018-01-06,25.309213367051527
